LocationID	Treatment	Label	LabelID	Type	Type2	TreeSizeCat	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	10	y	0.25	20	20	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	11	n	0.25	13	13	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	12	n	0.25	15	15	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	13	y	0.25	25	25	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	14	n	0.25	19	19	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	15	y	0.25	21	21	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	16	y	0.25	23	23	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	17	n	0.25	16	16	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	18	n	0.25	18	18	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	19	n	0.25	17	17	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	20	n	0.25	17	17	Abudefdufsexfasciatus
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	1	n	0.1	11	11	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	2	y	0.1	20	20	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	3	n	0.1	6	6	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	4	n	0.1	16	16	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	5	y	0.1	22	22	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	6	n	0.1	9	9	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	7	n	0.1	10	10	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	8	n	0.1	14	14	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	9	n	0.1	8	8	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	10	n	0.1	15	15	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	11	n	0.1	8	8	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	12	n	0.1	17	17	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	13	n	0.1	11	11	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	14	n	0.1	19	19	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	15	n	0.1	6	6	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	16	n	0.1	8	8	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	17	n	0.1	6	6	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	18	n	0.1	8	8	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	19	n	0.1	9	9	Lutjanussp.
4	a	4TL	5	large	large	L	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	20	n	0.1	17	17	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	1	n	0	11	11	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	2	n	0	11	11	Lutjanussp.
