LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	7	0	n	0.15	13	13	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	8	0	n	0.15	10	10	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	9	0	n	0.15	17	17	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	10	0	n	0.15	15	15	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	11	0	n	0.15	12	12	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	12	0	n	0.15	7	7	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	13	0	n	0.15	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	14	0	n	0.15	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	15	0	n	0.15	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	16	0	n	0.15	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	17	0	n	0.15	11	11	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	18	0	n	0.15	10	10	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	19	0	n	0.15	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	20	0	n	0.15	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	1	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	2	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	3	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	4	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	5	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	6	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	7	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	8	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	9	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	10	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	11	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	12	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	13	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	14	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	15	0	n	0	0	0	nogroup
